Order_No,Time from Pickup to Arrival
Order_No_19248,1536.3447524053045
Order_No_2699,3082.0476819637483
Order_No_21486,2130.725188363751
Order_No_19336,2400.882214466692
Order_No_20374,2766.2436732402275
Order_No_9830,1720.2455707173795
Order_No_17505,1675.8834619696427
Order_No_23802,2817.071926924982
Order_No_12736,1642.6746336440556
Order_No_6400,2620.2225641304685
Order_No_25920,942.871884492939
Order_No_24873,2151.369359020493
Order_No_4511,1846.9540499529685
Order_No_13686,2814.6955513866274
Order_No_19317,2310.494937571813
Order_No_2680,2016.5250242522602
Order_No_7097,1509.3016040599905
Order_No_22701,1616.1404442372732
Order_No_4881,2100.3372164457105
Order_No_6340,1389.1009384482168
Order_No_27915,1256.221404253607
Order_No_768,1601.3686815330584
Order_No_28256,1773.6201782493736
Order_No_16940,1656.7562433916028
Order_No_4860,1325.3943815651
Order_No_19055,1225.413629663235
Order_No_21272,1455.5358145600767
Order_No_2131,1193.8011145258495
Order_No_26647,679.6973679214861
Order_No_15717,2194.2302871060674
Order_No_7499,1394.5893551775368
Order_No_19277,1635.4298714039032
Order_No_21254,3359.0343000242433
Order_No_15403,1260.4182478480216
Order_No_3402,2531.754889128555
Order_No_20766,676.7330434869073
Order_No_14859,1132.0206991445448
Order_No_7290,735.9616429129965
Order_No_15168,1432.2334619485482
Order_No_13427,1538.0786099453396
Order_No_20894,1799.3755918195093
Order_No_10827,1660.0248689459986
Order_No_9447,1638.5355892624357
Order_No_15217,2656.593217680056
Order_No_2361,1479.5888782006805
Order_No_12210,1320.8606520188625
Order_No_15207,2259.200724005561
Order_No_27745,2758.8044000506347
Order_No_18450,1372.0885309959124
Order_No_21282,1202.7803931266244
Order_No_2842,1059.1261498031672
Order_No_22280,1418.3784082841012
Order_No_15535,1367.9351424755878
Order_No_382,805.3692874278204
Order_No_21070,1740.8077551023596
Order_No_2603,2749.905076815856
Order_No_16558,968.7390831766535
Order_No_24712,1359.2289704890572
Order_No_26578,2458.038325632282
Order_No_21638,1202.2215858080451
Order_No_22046,1013.2574289122133
